"site","lat","lon"
"06075980501",37.7162081,-122.4193463
"06075017102",37.7654353,-122.4504754
"06075012302",37.7870222,-122.412097
"06075016801",37.7713309,-122.4290133
"06075011902",37.7909959,-122.4098067
"06075012202",37.785427,-122.4196803
"06075012601",37.8022683,-122.4391509
"06075013102",37.79262,-122.4274313
"06075012602",37.8064009,-122.4347313
"06075012902",37.8006183,-122.4321105
"06075013101",37.7937795,-122.4247496
"06075015801",37.7813045,-122.4373585
"06075025702",37.7281305,-122.4057589
"06075016802",37.7735446,-122.4249292
"06075017101",37.7657245,-122.4460838
"06075017801",37.7820284,-122.4011589
"06075022704",37.7609519,-122.4019893
"06075025701",37.7315824,-122.4119407
"06075032801",37.746019,-122.4804356
"06075031201",37.7217838,-122.4573318
"06075031202",37.7193286,-122.4523956
"06075032602",37.7588987,-122.4825797
"06075032802",37.7530955,-122.4812305
"06075032901",37.746154,-122.4901873
"06075042601",37.7831223,-122.481191
"06075033203",37.7159219,-122.4782648
"06075033204",37.7196514,-122.4803901
"06075042602",37.7833847,-122.4754789
"06075047801",37.7758427,-122.4921123
"06075061200",37.7370495,-122.3901596
"06075980300",37.7684025,-122.4920873
"06075980401",37.7272391,-123.0322294
"06075012502",37.783933,-122.4125954
"06075980200",37.785046,-122.5019092
"06075023102",37.7345195,-122.3845849
"06075023200",37.7277635,-122.3861501
"06075023300",37.7254423,-122.3977657
"06075022901",37.751201,-122.4139445
"06075013300",37.7887307,-122.4524293
"06075022803",37.7558368,-122.4120842
"06075047702",37.7744602,-122.4837889
"06075035202",37.7613995,-122.5061469
"06075025403",37.7337691,-122.4206236
"06075022702",37.7626143,-122.3955143
"06075025200",37.7437123,-122.4142166
"06075025300",37.7438747,-122.4202434
"06075025402",37.7368768,-122.4127788
"06075025600",37.7287884,-122.4223771
"06075025800",37.7214949,-122.4018971
"06075061000",37.7132283,-122.3846994
"06075025900",37.7234533,-122.4105033
"06075026002",37.7261195,-122.4262822
"06075026004",37.7178918,-122.4357033
"06075020500",37.7591282,-122.4370296
"06075030202",37.7630946,-122.4673205
"06075026001",37.7235502,-122.4322434
"06075026003",37.7195817,-122.4287703
"06075026404",37.7096507,-122.4152933
"06075016500",37.7741957,-122.4477882
"06075025401",37.7396295,-122.4224695
"06075060502",37.7112928,-122.4205879
"06075045100",37.7775849,-122.4613475
"06075015300",37.7867618,-122.4393346
"06075018000",37.7753353,-122.4022844
"06075013500",37.7908976,-122.4325551
"06075023103",37.7353563,-122.3733155
"06075022801",37.7607269,-122.4125113
"06075010300",37.80162,-122.415681
"06075010500",37.8026835,-122.39905
"06075010600",37.7993784,-122.4063879
"06075010800",37.7964984,-122.4142913
"06075011200",37.7929713,-122.4127333
"06075011300",37.7946971,-122.4093492
"06075011700",37.7904975,-122.403475
"06075011800",37.7933506,-122.4061645
"06075012700",37.8049771,-122.4447185
"06075013200",37.7936676,-122.4387455
"06075012100",37.7888066,-122.4118881
"06075015100",37.7874563,-122.4234259
"06075015900",37.7833409,-122.4293428
"06075016000",37.7823391,-122.4224915
"06075016200",37.7771541,-122.4228807
"06075016300",37.7760456,-122.4295509
"06075016400",37.7750995,-122.436973
"06075015500",37.7850941,-122.4341319
"06075015600",37.7782473,-122.4564269
"06075016700",37.7703481,-122.4377358
"06075990100",37.76216,-122.5518622
"06075020402",37.7528393,-122.4444126
"06075980900",37.746286,-122.3894769
"06075011901",37.7904728,-122.4139142
"06075012901",37.8019597,-122.427249
"06075015802",37.778079,-122.4385024
"06075031301",37.7193281,-122.4678661
"06075031302",37.7133984,-122.4671038
"06075032601",37.7624894,-122.4807987
"06075032902",37.7526804,-122.4906464
"06075047802",37.779204,-122.497393
"06075012301",37.7859203,-122.410746
"06075023400",37.7215886,-122.3900583
"06075025100",37.7439404,-122.4076933
"06075047701",37.7782559,-122.4840627
"06075030900",37.7282698,-122.4683645
"06075031100",37.7296129,-122.4462246
"06075031000",37.7286248,-122.4571615
"06075032700",37.7601691,-122.4911696
"06075033100",37.7322046,-122.4871887
"06075033201",37.7263801,-122.4798147
"06075035201",37.7566323,-122.5104356
"06075035300",37.7425282,-122.4978589
"06075035400",37.7421123,-122.5072288
"06075040100",37.7851587,-122.461815
"06075040200",37.7843303,-122.4683869
"06075042700",37.7822707,-122.4881761
"06075042800",37.7880433,-122.4885865
"06075047600",37.7767733,-122.475544
"06075017700",37.768044,-122.4124918
"06075060100",37.807347,-122.4749184
"06075047902",37.7792384,-122.5041008
"06075020300",37.7649354,-122.4294366
"06075020900",37.7518211,-122.4184134
"06075021000",37.7515888,-122.4228445
"06075021100",37.7539709,-122.4298155
"06075021200",37.7531762,-122.4381261
"06075021300",37.7492624,-122.4384746
"06075021400",37.7495712,-122.4293939
"06075021500",37.744964,-122.4269056
"06075021600",37.745496,-122.4381399
"06075021700",37.7402533,-122.4392771
"06075021800",37.7379203,-122.4291348
"06075022600",37.7612744,-122.3841166
"06075022802",37.7589131,-122.4062337
"06075022902",37.751344,-122.4103787
"06075022903",37.7517619,-122.4062182
"06075023001",37.7351925,-122.4017617
"06075023003",37.7326749,-122.3958349
"06075020602",37.7578121,-122.4306825
"06075016900",37.7671003,-122.432467
"06075017000",37.7648873,-122.4394974
"06075026100",37.7196238,-122.44316
"06075060400",37.7227157,-122.4916361
"06075026301",37.7138687,-122.4395362
"06075026302",37.7116465,-122.4308297
"06075020401",37.7595115,-122.4434831
"06075026303",37.709662,-122.4434545
"06075026401",37.7135251,-122.4112834
"06075026402",37.7164934,-122.4034909
"06075026403",37.7111907,-122.4069124
"06075030101",37.7642568,-122.4597429
"06075030102",37.7586056,-122.4578068
"06075030201",37.7628136,-122.473784
"06075030301",37.7569391,-122.4692332
"06075030302",37.7519364,-122.4716313
"06075030400",37.7469525,-122.4675254
"06075030500",37.7523832,-122.4517871
"06075030600",37.7437535,-122.4571389
"06075030700",37.7372232,-122.4503095
"06075030800",37.739192,-122.467864
"06075026201",37.7097064,-122.4583017
"06075026202",37.7134049,-122.4483179
"06075012405",37.7795195,-122.417462
"06075020101",37.7702373,-122.4201473
"06075017603",37.7763092,-122.4143407
"06075017803",37.773426,-122.4120419
"06075012503",37.7834657,-122.4105086
"06075017804",37.7776291,-122.4067243
"06075017602",37.7821241,-122.4070181
"06075061503",37.7857922,-122.3965353
"06075060703",37.7749279,-122.3957079
"06075061402",37.7565832,-122.3947008
"06075061502",37.7817147,-122.3929796
"06075017903",37.8194586,-122.3704229
"06075045201",37.7770419,-122.4696013
"06075035102",37.754778,-122.4990243
"06075980600",37.7231655,-122.3685424
"06075015701",37.7784855,-122.4507192
"06075015402",37.7855854,-122.4514018
"06075015702",37.7794926,-122.4443716
"06075016602",37.7699467,-122.4511458
"06075016601",37.7708668,-122.4449409
"06075012504",37.7811411,-122.4129545
"06075020102",37.7650522,-122.419688
"06075020802",37.7618332,-122.4193778
"06075020801",37.7578341,-122.418996
"06075061401",37.7537616,-122.3999432
"06075020702",37.7615686,-122.4237834
"06075060702",37.768089,-122.4003072
"06075012001",37.7884288,-122.4186288
"06075010101",37.8085195,-122.4095545
"06075010102",37.80469,-122.4139437
"06075060701",37.7743713,-122.3835948
"06075033001",37.740465,-122.490765
"06075033002",37.7381305,-122.4812569
"06075031401",37.7128911,-122.4571078
"06075025501",37.7256849,-122.4411925
"06075010202",37.8106454,-122.4245951
"06075061504",37.7852562,-122.3924125
"06075061507",37.7907573,-122.3891845
"06075025502",37.7304262,-122.4333557
"06075016101",37.7795615,-122.4319544
"06075990200",37.8046349,-122.3728663
"06075016102",37.7801932,-122.4270222
"06075012801",37.7974428,-122.4438958
"06075010402",37.8018998,-122.4052575
"06075061101",37.7956249,-122.4033562
"06075047904",37.7824917,-122.5098754
"06075061102",37.7954828,-122.4073658
"06075061501",37.7878384,-122.4001079
"06075012403",37.7829458,-122.4166093
"06075047903",37.775421,-122.50374
"06075035101",37.7616792,-122.4993329
"06075061506",37.7876594,-122.3910165
"06075061505",37.7891027,-122.3906438
"06075045202",37.7772373,-122.465624
"06075012406",37.783094,-122.4192115
"06075012404",37.7831562,-122.4149685
"06075017604",37.7798582,-122.4117434
"06075015401",37.7833424,-122.4507276
"06075010901",37.7982726,-122.4188607
"06075012204",37.7859515,-122.4155341
"06075015202",37.7877048,-122.4319111
"06075010902",37.7978102,-122.4221947
"06075015201",37.7883324,-122.4269759
"06075020701",37.7575672,-122.4233994
"06075011001",37.7934678,-122.4196321
"06075011102",37.7898365,-122.4189044
"06075012002",37.7874957,-122.4184249
"06075010401",37.8027796,-122.410688
"06075010701",37.7974989,-122.4092568
"06075010702",37.7996811,-122.4109547
"06075011002",37.7952617,-122.4199592
"06075012203",37.7857412,-122.4171743
"06075031402",37.7160857,-122.4571712
"06075013401",37.790159,-122.4383313
"06075013402",37.7895361,-122.4432888
"06075012802",37.7983583,-122.4385354
"06075013002",37.7968323,-122.4337546
