"site","lat","lon","geometry"
"tract_06075980501",37.7181748866653,-122.418748197801,c(-122.418748197801, 37.7181748866653)
"tract_06075017102",37.7654353403526,-122.450475354346,c(-122.450475354346, 37.7654353403526)
"tract_06075012302",37.7870222184833,-122.412097017469,c(-122.412097017469, 37.7870222184833)
"tract_06075016801",37.7713308849507,-122.429013298737,c(-122.429013298737, 37.7713308849507)
"tract_06075011902",37.7909959279263,-122.409806683311,c(-122.409806683311, 37.7909959279263)
"tract_06075012202",37.7854270053621,-122.419680328018,c(-122.419680328018, 37.7854270053621)
"tract_06075012601",37.8022682675188,-122.439150860827,c(-122.439150860827, 37.8022682675188)
"tract_06075013102",37.7926199975906,-122.427431297245,c(-122.427431297245, 37.7926199975906)
"tract_06075012602",37.8073496272231,-122.433108003307,c(-122.433108003307, 37.8073496272231)
"tract_06075012902",37.8006182971874,-122.43211048132,c(-122.43211048132, 37.8006182971874)
"tract_06075013101",37.7937795076213,-122.424749593675,c(-122.424749593675, 37.7937795076213)
"tract_06075015801",37.7813044907749,-122.437358467733,c(-122.437358467733, 37.7813044907749)
"tract_06075025702",37.7281304636298,-122.405758943778,c(-122.405758943778, 37.7281304636298)
"tract_06075016802",37.7735445712636,-122.424929188246,c(-122.424929188246, 37.7735445712636)
"tract_06075017101",37.7657245357086,-122.446083804916,c(-122.446083804916, 37.7657245357086)
"tract_06075017801",37.7820284488849,-122.401158903782,c(-122.401158903782, 37.7820284488849)
"tract_06075022704",37.7609519094586,-122.401989323997,c(-122.401989323997, 37.7609519094586)
"tract_06075025701",37.7315824168119,-122.411940668351,c(-122.411940668351, 37.7315824168119)
"tract_06075032801",37.7460189860435,-122.480435562743,c(-122.480435562743, 37.7460189860435)
"tract_06075031201",37.7217837493106,-122.457331764469,c(-122.457331764469, 37.7217837493106)
"tract_06075031202",37.719328610255,-122.452395580988,c(-122.452395580988, 37.719328610255)
"tract_06075032602",37.7588987052485,-122.482579704235,c(-122.482579704235, 37.7588987052485)
"tract_06075032802",37.7524026138419,-122.481485091685,c(-122.481485091685, 37.7524026138419)
"tract_06075032901",37.7461539528912,-122.490187308557,c(-122.490187308557, 37.7461539528912)
"tract_06075042601",37.7831223318398,-122.481191036257,c(-122.481191036257, 37.7831223318398)
