OVRL_HEALTH,SELFDESC_WEIGHT,MIN_MOD_PA,MIN_VIG_PA,DAY_STR_EXR,SUB_ANY_TOBACCO,SUB_ANY_ALCOHOL,SUB_ANY_CANNABIS,SUB_3MO_TOBACCO,SUB_3MO_ALCOHOL,SUB_3MO_CANNABIS,AGE,SUGAR_7D
Excellent,About the right weight,8,2,2,Yes,Yes,No,Once or twice,Once or twice,,39,2
Good,Very underweight,90,90,0,No,No,No,,,,32,6
Good,About the right weight,400,60,0,Yes,Yes,Yes,Never,Once or twice,Daily or almost daily,27,10
Good,Slightly overweight,360,160,3,No,No,Yes,,,Once or twice,21,0
Good,About the right weight,20,0,0,No,Yes,Yes,,Monthly,Daily or almost daily,21,1
Very Good,About the right weight,25,25,0,No,Yes,Yes,,Weekly,Once or twice,26,12
Very Good,About the right weight,90,240,2,No,Yes,No,,Weekly,,31,2
Fair,About the right weight,180,0,0,Yes,Yes,Yes,Never,Once or twice,Once or twice,48,3
Good,Slightly overweight,120,0,1,No,Yes,No,,Never,,43,1
Good,About the right weight,120,220,3,Yes,Yes,Yes,Monthly,Weekly,Once or twice,39,0
Good,Very overweight,90,0,0,Yes,Yes,Yes,Daily or almost daily,Once or twice,Daily or almost daily,45,2
Good,Slightly overweight,240,0,0,Yes,Yes,Yes,Monthly,Monthly,Once or twice,46,2
Fair,Very overweight,90,20,0,Yes,Yes,Yes,Never,Weekly,Never,46,2
Fair,Slightly overweight,15,0,2,Yes,Yes,Yes,Never,Daily or almost daily,Daily or almost daily,45,0
Excellent,About the right weight,308,35,1,No,Yes,Yes,,Never,Never,41,0
Fair,Slightly overweight,120,30,1,No,Yes,Yes,,Once or twice,Never,46,4
Fair,Slightly overweight,200,0,0,Yes,Yes,No,Monthly,Daily or almost daily,,38,7
Very Good,About the right weight,270,0,1,No,Yes,No,,Daily or almost daily,,41,0
Excellent,About the right weight,120,0,1,Yes,Yes,Yes,Never,Once or twice,Weekly,38,1
Poor,Very overweight,45,0,0,No,Yes,Yes,,Never,Once or twice,49,2
Good,Slightly overweight,60,90,3,Yes,Yes,Yes,Daily or almost daily,Never,Never,38,2
Good,About the right weight,540,0,2,No,Yes,Yes,,Weekly,Weekly,43,0
Good,Very overweight,25,0,0,No,No,No,,,,45,0
Very Good,Slightly overweight,80,0,4,Yes,Yes,Yes,Never,Daily or almost daily,Never,37,1
Excellent,About the right weight,200,350,1,Yes,Yes,No,Once or twice,Never,,43,0
Very Good,Slightly overweight,180,0,0,Yes,Yes,Yes,Never,Weekly,Weekly,40,0
Very Good,Slightly overweight,1080,150,5,No,No,No,,,,40,0
Good,Slightly overweight,60,180,4,Yes,Yes,Yes,Never,Daily or almost daily,Daily or almost daily,40,0
Very Good,About the right weight,1680,300,5,No,Yes,No,,Weekly,,40,0
Good,Slightly overweight,2000,0,0,No,Yes,Yes,,Never,Never,23,0
Very Good,Slightly overweight,840,600,5,No,No,No,,,,50,10
Good,About the right weight,420,0,0,Yes,Yes,Yes,Never,Never,Never,28,0
Very Good,About the right weight,120,0,2,No,Yes,Yes,,Weekly,Once or twice,24,8
Very Good,Slightly overweight,120,140,7,No,No,No,,,,24,0
Good,About the right weight,250,100,3,Yes,Yes,Yes,Once or twice,Weekly,Weekly,23,0
Poor,Very overweight,0,0,0,No,No,No,,,,23,29
Very Good,Very overweight,240,60,0,No,Yes,No,,Once or twice,,23,1
Very Good,About the right weight,240,60,1,No,Yes,No,,Once or twice,,26,5
Very Good,Slightly underweight,90,0,0,No,Yes,No,,Once or twice,,23,12
Excellent,Very underweight,100,0,0,No,No,No,,,,23,18
Very Good,About the right weight,600,500,4,No,Yes,No,,Once or twice,,24,12
Good,Slightly overweight,120,30,0,No,Yes,No,,Once or twice,,23,2
Very Good,About the right weight,480,105,4,Yes,Yes,Yes,Never,Daily or almost daily,Daily or almost daily,24,0
Good,Slightly overweight,5000,1000,1,Yes,Yes,No,Never,Once or twice,,27,0
Poor,Very overweight,420,140,3,No,Yes,Yes,,Daily or almost daily,Monthly,24,0
Good,About the right weight,180,60,5,Yes,Yes,Yes,Never,Weekly,Never,39,0
Fair,Slightly underweight,210,0,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Never,23,1
Excellent,About the right weight,50,0,1,Yes,Yes,Yes,Never,Never,Once or twice,24,2
Good,About the right weight,2820,,0,No,Yes,No,,Once or twice,,23,0
Good,Slightly overweight,70,0,2,No,Yes,No,,Monthly,,24,0
Very Good,About the right weight,300,0,2,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,24,2
Very Good,Slightly overweight,60,1,0,No,Yes,No,,Monthly,,23,2
Good,Slightly overweight,30,30,0,Yes,Yes,Yes,Weekly,Weekly,Daily or almost daily,24,3
Good,About the right weight,420,120,7,No,Yes,Yes,,Once or twice,Once or twice,23,0
Fair,Slightly overweight,120,30,0,Yes,Yes,Yes,Daily or almost daily,Monthly,Once or twice,23,12
Good,About the right weight,480,0,7,No,Yes,Yes,,Never,Never,23,0
Fair,Very underweight,210,25,4,No,No,No,,,,23,5
Very Good,Slightly overweight,500,0,2,Yes,Yes,Yes,Never,Monthly,Daily or almost daily,24,1
Good,Very overweight,30,10,1,No,Yes,Yes,,Once or twice,Once or twice,23,4
Poor,About the right weight,0,0,0,No,Yes,No,,Never,,23,1
Excellent,Slightly overweight,120,120,1,No,Yes,No,,Weekly,,27,0
Good,About the right weight,900,140,3,No,Yes,Yes,,Once or twice,Monthly,23,4
Good,Slightly overweight,120,240,4,No,Yes,Yes,,Weekly,Once or twice,23,2
Very Good,Slightly overweight,180,40,4,Yes,Yes,Yes,Never,Monthly,Once or twice,23,2
Good,About the right weight,90,60,3,No,Yes,No,,Once or twice,,23,2
Good,Slightly overweight,60,0,0,No,No,No,,,,23,2
Excellent,Very overweight,300,0,0,No,No,No,,,,41,0
Good,Slightly underweight,180,30,0,No,Yes,No,,Weekly,,23,2
Good,About the right weight,60,0,0,No,No,No,,,,28,0
Very Good,Slightly overweight,240,550,5,No,Yes,Yes,,Once or twice,Never,27,1
Good,Slightly overweight,300,60,1,Yes,Yes,Yes,Never,Daily or almost daily,Monthly,35,0
Very Good,Slightly overweight,120,315,0,No,Yes,Yes,,Monthly,Never,42,2
Excellent,About the right weight,1680,0,0,No,No,No,,,,22,5
Very Good,About the right weight,60,0,1,No,No,No,,,,22,1
Excellent,About the right weight,30,0,0,No,No,No,,,,21,0
Good,About the right weight,120,360,3,No,No,No,,,,23,1
Good,Very overweight,10,0,0,No,Yes,Yes,,Once or twice,Never,23,4
