Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
1999-2000,All,19-Feb,All,Calcium,919.7,24.1,967.2,872.2,,,,
1999-2000,All,19-Feb,Non-Hispanic White,Calcium,999.2,34.3,"1,067.00",931.5,,,,
1999-2000,All,19-Feb,Non-Hispanic Black,Calcium,751.5,30.6,812,691,,,,
1999-2000,All,19-Feb,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Mexican American,Calcium,830.8,23.8,877.9,783.7,,,,
1999-2000,All,5-Feb,All,Calcium,821.3,38.2,745.9,896.7,,,,
1999-2000,All,11-Jun,All,Calcium,894.1,32.1,830.8,957.5,,,,
1999-2000,All,19-Dec,All,Calcium,919.7,24.1,872.2,967.2,,,,
1999-2000,All,20 and over,All,Calcium,843.2,15.6,873.9,812.4,,,,
1999-2000,All,20 and over,Non-Hispanic White,Calcium,898.1,24.6,946.8,849.4,,,,
1999-2000,All,20 and over,Non-Hispanic Black,Calcium,645.5,22.8,690.5,600.4,,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Calcium,784.9,25.2,834.7,735.1,,,,
1999-2000,All,20-29,All,Calcium,914.7,24.3,866.8,962.6,,,,
1999-2000,All,30-39,All,Calcium,885,32.2,821.3,948.7,,,,
1999-2000,All,40-49,All,Calcium,872.4,39.3,794.7,950,,,,
1999-2000,All,50-59,All,Calcium,816.8,34.9,747.9,885.6,,,,
1999-2000,All,60-69,All,Calcium,715.9,22.9,670.6,761.2,,,,
1999-2000,All,70 and over,All,Calcium,738.8,24.2,691,786.5,,,,
1999-2000,Female,19-Feb,All,Calcium,781.7,20.5,822.2,741.2,,,,
1999-2000,Female,5-Feb,All,Calcium,742,32.2,678.4,805.6,,,,
1999-2000,Female,11-Jun,All,Calcium,878.2,45.5,788.3,968.1,,,,
1999-2000,Female,19-Dec,All,Calcium,781.7,20.5,741.2,822.2,,,,
1999-2000,Female,20 and over,All,Calcium,738.5,20.6,779.2,697.7,,,,
1999-2000,Female,20-29,All,Calcium,821.4,47.4,727.7,915.1,,,,
1999-2000,Female,30-39,All,Calcium,738,21.5,695.6,780.4,,,,
1999-2000,Female,40-49,All,Calcium,728.1,32.5,664,792.3,,,,
1999-2000,Female,50-59,All,Calcium,756.4,53.3,651.2,861.6,,,,
1999-2000,Female,60-69,All,Calcium,674.6,27.4,620.5,728.6,,,,
1999-2000,Female,70 and over,All,Calcium,661.5,23.4,615.2,707.8,,,,
1999-2000,Male,19-Feb,All,Calcium,"1,051.90",36.7,"1,124.40",979.5,,,,
1999-2000,Male,5-Feb,All,Calcium,902.5,53.8,796.3,"1,008.70",,,,
1999-2000,Male,11-Jun,All,Calcium,908.4,46.1,817.4,999.4,,,,
1999-2000,Male,19-Dec,All,Calcium,"1,051.90",36.7,979.5,"1,124.40",,,,
1999-2000,Male,20 and over,All,Calcium,957.5,15.1,987.3,927.8,,,,
1999-2000,Male,20-29,All,Calcium,"1,010.20",45,921.2,"1,099.20",,,,
1999-2000,Male,30-39,All,Calcium,"1,039.90",57.1,927,"1,152.80",,,,
1999-2000,Male,40-49,All,Calcium,"1,034.60",55.8,924.3,"1,144.80",,,,
1999-2000,Male,50-59,All,Calcium,876,37.2,802.6,949.5,,,,
1999-2000,Male,60-69,All,Calcium,762.6,31.4,700.5,824.7,,,,
1999-2000,Male,70 and over,All,Calcium,847.5,34.4,779.5,915.6,,,,
1999-2000,All,19-Feb,All,Dietary Fiber,13.3,0.5,14.3,12.4,,,,
1999-2000,All,19-Feb,Non-Hispanic White,Dietary Fiber,13.8,0.5,14.8,12.9,,,,
